Id,SalePrice
2658,154097.09752877193
2718,216391.2262491357
2414,193508.50658051815
1989,136127.56161433802
625,187263.132601442
333,98631.37960736486
1327,109328.66136634105
858,139604.45049826044
95,205375.16577742767
1568,153312.79947893534
2482,170684.89185909004
1364,132777.21611592284
2584,163861.1896140304
818,252076.94264160993
2673,180791.9704739196
2089,113312.65735482959
1297,154191.00760393415
790,125824.04446484003
2616,191248.87118182032
720,198995.36739217213
222,141157.7374015975
557,123635.31181894965
1148,211919.50083285692
2766,139201.17283204827
534,196010.6639929195
1452,104194.5703789762
630,142335.46272537948
2648,120371.47220940901
125,136196.4476119352
1904,44992.538700456906
1670,106555.89800795839
756,113317.10882167879
717,280168.322097126
1032,152103.88805964155
852,233859.1078982187
1731,161808.34807166562
2639,133926.99520242988
2071,55140.44496634674
1267,108092.13931795473
1851,207714.77515612164
567,163054.03735321984
2439,219715.25190093007
1898,159374.5265491351
647,174883.92496283108
2256,240157.65051732855
979,122243.15810236047
1444,226301.22813043604
2485,100184.02786770208
157,128203.16848760075
88,119874.7404700534
2003,97601.61056522052
186,198244.51339265826
1425,271074.8128297523
2695,127755.59906329814
738,128775.98587930267
395,142273.19590040948
1353,162654.2188772753
1878,147929.94924605207
390,163492.0191085734
1456,238155.22003065085
1103,323731.1575132223
1387,145170.45965791872
2070,157992.83082691932
1199,174815.77808983147
2479,173977.3400183443
501,326227.5227293571
2362,81699.36223646555
1718,245757.4965440455
2188,77629.34314528161
1483,167415.42415728958
2557,94738.30292509445
437,323782.28833696997
2224,224346.9538823583
1628,175582.99991306924
397,126076.31555584374
587,218317.0489979263
2182,530357.9586785883
971,137727.56203587254
2611,148151.57401034358
1887,71978.06608828338
2399,360504.5403568075
2148,227424.37607456854
304,130313.47119775173
1997,131978.26199509067
2817,123179.49224421078
1431,160627.68619983256
427,382622.2480772365
263,111829.31947871493
598,181366.63178775337
2895,270327.89974472823
687,159444.87009194505
1822,124498.18890577825
2191,119974.52787186853
179,134426.9456617283
1009,266416.0886561893
2010,124278.30423193928
1991,140290.46173243248
1411,162780.48785672468
1721,278143.6659014344
1144,189813.69973861423
593,210410.5951142091
575,296912.0969277281
1249,190548.6052652919
1604,111139.57229592708
1064,434473.2149863377
1923,146265.20865773087
1988,89681.28791174607
2325,166033.95855120273
114,203662.33234269396
2700,207442.4199911746
217,147512.1060447361
343,192720.18787527463
386,235553.6270347532
2005,96111.6302085536
2908,135423.62178595774
1814,214468.28634097858
2446,434876.62420741376
208,135618.9839698925
1679,119611.69133366527
822,314897.24132057565
6,182100.3457070252
1781,378288.0503157356
2397,311966.67474640295
2340,339714.3509362965
1618,157151.3806885705
2843,166623.5049052964
1061,355337.60953140305
2786,112936.84946330439
1935,121142.72119116236
1341,138637.56904460525
521,280496.90120158624
2136,123530.83420126214
996,182980.8113849574
227,146080.4949994253
135,160021.74410889216
1167,165338.5533672478
294,269799.47107483505
1776,202633.7185922408
540,177303.95788926713
1717,245757.4965440455
2303,110613.96241317941
116,189132.54867969168
127,129814.14358909195
1371,143861.2332072432
1014,185033.31616602655
1507,87835.73610218553
702,142839.07308094663
750,157463.381368635
261,146581.70868092487
1559,69882.01459449208
577,238105.50553095102
2812,206011.10598404115
2080,153066.6797256471
1368,121060.03247431754
2376,104388.65667554543
659,110666.4078053469
1235,118560.63131944863
332,89977.4414168538
1917,131808.81267548597
2094,246777.554195367
1460,289822.69390341185
1471,204390.80228412777
1509,125690.66607376395
1922,125777.17055495153
433,429842.0611823383
460,308057.2417350954
1116,256201.93981586373
1137,150073.6772554638
53,184209.9757617057
2354,247945.32792202051
1475,208839.8678056238
1761,446007.87741005456
842,133417.51930179173
2739,183639.73982576947
2509,170995.62901045708
1007,214933.79753330565
2610,179233.94210405572
1952,64071.11358297289
2719,213897.30324091425
2921,107067.74050334642
1966,138887.74281953525
292,132132.79125502365
1204,200479.87315240822
1829,240232.73324488345
2419,188692.31868125213
391,165595.5020246818
798,113736.80810384254
481,197912.6697569503
193,214124.50643331616
555,117540.97120202708
899,61758.64036891877
2357,179895.29923135974
328,123602.49486643255
1356,124754.62147188341
1154,107241.22283910353
1730,181324.05340661504
2249,142019.60183736362
1119,268901.36888495967
2856,124470.37100315795
1394,145093.1090819325
2587,108993.12455866252
61,322745.8896538741
2661,192728.92183729002
2711,121835.8166699367
1147,178231.35599753188
757,123731.57427953777
2623,66819.99825075248
2378,153794.1568675261
1413,155687.58651840844
1722,258168.32020744175
1112,223124.69186031743
1623,185557.01660231737
1201,204211.9401472028
1513,123450.74696703884
957,256564.19882074677
1171,256974.57448290885
1145,195322.52523906447
2726,231027.47374670627
703,142314.29270833425
760,84174.48458921074
1964,133892.884409994
2512,189164.36758670083
159,138212.23412676863
1281,183201.05055860325
468,188249.9355858101
290,116150.00548086865
665,97992.07103951993
1463,275550.8099084025
1792,224461.5095664112
923,157741.83405015033
500,311992.192624329
1408,177763.98867810142
331,73004.78737847635
170,155642.0172383334
2192,92998.40355596117
2571,307769.7788847133
2314,162023.8219913353
2647,84636.02882209662
422,394737.46438846353
2457,325836.3637614007
1838,216554.36923948178
2805,250964.3928049873
1645,156433.68154007374
1711,314299.69181202864
2825,260668.47892084654
322,336568.8077843983
2103,279067.8997096111
342,122846.52381320615
600,96146.85552650173
488,185990.06884254052
1725,345322.7393829583
2246,285711.0961973558
2847,165671.80703809232
806,235550.57764576137
530,242729.08006063304
963,189800.57850802783
2678,107616.36052976751
171,89125.59595908965
2401,410480.0146518772
805,216684.51777314345
2259,245290.36398586683
1748,179251.2790508729
1361,136402.44842063915
1677,125316.85923830865
1406,159506.81437653722
2322,227873.34223687238
688,173352.63866883464
143,142345.83218710922
804,197497.2447628714
1214,159358.62092496612
2828,148512.3004803764
1999,209386.14178332972
2467,199919.54293874532
2665,149477.9039290706
1538,342108.5702024059
398,103181.65987522138
2822,135244.60187553457
2157,162421.38483375197
1856,166193.86420452737
1269,77634.4692914326
2570,110513.585451265
2320,247963.34628862992
1517,120745.60309811652
2304,115509.81316057658
1312,93338.55531847697
